W0629 17:35:44.535000 39575 torch/distributed/run.py:851] 
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] *****************************************
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] *****************************************
============================================================
EXPERIMENT 1: Convergence study — 1024x1024
============================================================

Grid: 1024x1024 | Steps: 500 | Slab: 1024x256
------------------------------------------------------------
/home/ubuntu/accelerated-library-integrations/NCCL/nccl-env/lib/python3.10/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)

Avg step: 3.38ms | Avg comm: 2.27ms | Overhead: 67.0% | Converged: No

============================================================
EXPERIMENT 2: Convergence study — 1024x1024 extended
============================================================

Grid: 1024x1024 | Steps: 1000 | Slab: 1024x256
------------------------------------------------------------
Step   10/1000 | Max Temp: 288.0 K | Convergence: 7.08e-01 | Comm: 0.46ms | Overhead: 50.5%
Step   20/1000 | Max Temp: 288.0 K | Convergence: 3.81e-01 | Comm: 0.41ms | Overhead: 47.8%
Step   30/1000 | Max Temp: 288.0 K | Convergence: 2.47e-01 | Comm: 0.39ms | Overhead: 46.8%
Step   40/1000 | Max Temp: 288.0 K | Convergence: 1.91e-01 | Comm: 0.39ms | Overhead: 46.3%
Step   50/1000 | Max Temp: 288.0 K | Convergence: 1.52e-01 | Comm: 0.38ms | Overhead: 46.0%
Step   60/1000 | Max Temp: 288.0 K | Convergence: 1.26e-01 | Comm: 0.38ms | Overhead: 44.2%
Step   70/1000 | Max Temp: 288.0 K | Convergence: 1.09e-01 | Comm: 0.37ms | Overhead: 44.2%
Step   80/1000 | Max Temp: 288.0 K | Convergence: 9.56e-02 | Comm: 0.37ms | Overhead: 44.2%
Step   90/1000 | Max Temp: 288.0 K | Convergence: 8.45e-02 | Comm: 0.37ms | Overhead: 43.4%
Step  100/1000 | Max Temp: 287.9 K | Convergence: 7.59e-02 | Comm: 0.37ms | Overhead: 43.5%
Step  110/1000 | Max Temp: 287.9 K | Convergence: 6.95e-02 | Comm: 0.37ms | Overhead: 42.9%
Step  120/1000 | Max Temp: 287.9 K | Convergence: 6.38e-02 | Comm: 0.36ms | Overhead: 43.0%
Step  130/1000 | Max Temp: 287.9 K | Convergence: 5.88e-02 | Comm: 0.36ms | Overhead: 43.1%
Step  140/1000 | Max Temp: 287.9 K | Convergence: 5.44e-02 | Comm: 0.36ms | Overhead: 43.2%
Step  150/1000 | Max Temp: 287.9 K | Convergence: 5.08e-02 | Comm: 0.36ms | Overhead: 43.3%
Step  160/1000 | Max Temp: 287.9 K | Convergence: 4.78e-02 | Comm: 0.36ms | Overhead: 43.3%
Step  170/1000 | Max Temp: 287.9 K | Convergence: 4.51e-02 | Comm: 0.36ms | Overhead: 43.4%
Step  180/1000 | Max Temp: 287.9 K | Convergence: 4.26e-02 | Comm: 0.36ms | Overhead: 43.5%
Step  190/1000 | Max Temp: 287.9 K | Convergence: 4.03e-02 | Comm: 0.36ms | Overhead: 43.6%
