platform_label,benchmark,mode,device_name,cudnn_version,batch_size,latency_ms,throughput_img_s,speedup_vs_cpu
brev_l4,conv2d,CPU baseline,x86_64,91900,32,466.7772370012244,68.5551853504717,1.0
brev_l4,conv2d,"GPU, cuDNN disabled",NVIDIA L4,91900,32,12.166656017303467,2630.139288436319,38.365285937020985
brev_l4,conv2d,"GPU, cuDNN enabled",NVIDIA L4,91900,32,6.0984320640563965,5247.2503856532385,76.54053240215087
brev_l4,conv2d,"GPU, cuDNN enabled + autotune",NVIDIA L4,91900,32,6.141439914703369,5210.504449190821,76.00452719299619
brev_l4,resnet18,CPU baseline,x86_64,91900,32,995.3621669992572,32.149102166974245,1.0
brev_l4,resnet18,"GPU, cuDNN disabled",NVIDIA L4,91900,32,28.9751033782959,1104.3964048104115,34.35232495994625
brev_l4,resnet18,"GPU, cuDNN enabled",NVIDIA L4,91900,32,9.717759609222412,3292.940069193639,102.42712384597701
brev_l4,resnet18,"GPU, cuDNN enabled + autotune",NVIDIA L4,91900,32,9.820144176483154,3258.607961849703,101.35922132211728
